total_pop,know_no_ef,mother_not_ef,home_not_ef,home_other_not_ef,CT_GEO2
4191,250,2665,1730,605,319
5197,350,3380,2315,790,320.01
5869,335,4095,2685,865,320.02
3830,245,2545,1730,545,321.01
4030,240,2680,1720,645,321.02
4737,335,3595,2545,705,322.01
3500,340,2060,1495,375,322.02
4289,190,2485,1630,565,323.01
5367,315,2900,1920,630,323.02
3498,275,2205,1470,495,324.01
6123,460,4e3,2705,825,324.02
3862,350,2450,1695,500,324.03
3388,505,2450,1870,445,324.05
3561,265,2455,1615,595,324.06
4288,35,840,305,295,330
5629,50,1350,595,410,331.01
6162,260,3110,2110,745,331.03
3212,50,1075,485,365,331.04
7350,215,3065,1845,785,332
4695,70,1230,605,410,333
3500,40,700,300,230,334
7740,215,2975,1765,825,335
6772,210,2280,1255,685,336
721,5,140,50,45,337.01
2155,20,325,125,110,337.02
5956,20,840,255,340,338
6687,50,860,280,370,339
6771,235,3110,1895,820,340
4379,230,1875,1190,400,341.02
3436,150,2120,1535,480,341.03
6030,240,3045,1910,750,341.04
7561,350,3730,2370,1070,342
4218,200,1825,1130,505,343
5186,175,2295,1435,585,344.01
3365,135,1485,960,425,344.02
3938,165,1900,1180,510,345
4634,165,2205,1330,520,346.01
5388,140,2375,1485,575,346.02
2833,70,1170,650,395,347
5601,130,2065,1070,665,348
5720,185,2455,1405,680,349
5419,200,2445,1350,730,350
5497,215,2615,1640,745,351.01
2756,80,1245,730,365,351.02
5309,220,2625,1595,725,352
5305,240,2545,1615,685,353.02
3107,140,1680,1105,415,353.03
4509,175,2240,1455,525,353.04
5403,170,2425,1425,565,354
5214,135,2155,1275,570,355.02
5270,160,2310,1475,500,355.04
3033,65,1020,670,290,355.05
1643,55,620,365,170,355.06
4833,130,1910,960,520,356
7123,535,4130,2775,945,357.01
4940,185,1855,1195,495,357.02
3397,65,1090,540,330,358.01
4732,90,1440,775,395,358.02
5598,115,1860,1075,560,358.03
7558,240,2700,1655,735,359
6107,90,1805,930,520,360
5804,75,1435,555,505,361.01
7558,95,2205,1025,765,361.02
6300,115,2020,1095,730,362.01
5628,130,2345,1260,720,362.02
6866,160,2875,1645,810,362.03
5019,70,1340,710,400,362.04
3253,45,1110,565,335,363.02
3668,100,1515,860,475,363.04
4538,180,2085,1240,565,363.05
7307,540,4495,3010,1020,363.06
5338,300,3270,2365,625,363.07
5996,160,2350,1395,645,364.01
3053,60,1265,745,300,364.02
6497,220,3270,2155,900,365
6136,175,2555,1510,655,366
4710,275,2960,1990,670,367.01
3548,155,1605,910,500,367.02
6843,460,4560,3105,1080,368.01
4315,235,1865,1215,460,368.02
8094,405,4170,2670,960,369
9977,570,5605,3595,1360,370.01
5580,355,2925,1940,735,370.02
4137,155,1965,1175,530,370.03
7626,250,3245,1860,1e3,371
4346,170,2045,1190,615,372
4806,170,2130,1235,630,373
4848,340,2760,1805,650,374.01
3215,295,1900,1225,460,374.02
4184,625,2580,1825,550,374.03
6324,845,4065,2875,880,375.01
1959,65,795,445,250,375.02
5318,435,3060,2075,660,375.03
5300,700,3420,2490,720,375.04
7208,715,4115,2890,955,375.05
5094,855,3270,2420,670,376.01
5176,975,3535,2830,590,376.02
5460,880,3560,2720,650,376.04
6860,2060,5605,4580,885,376.05
484,150,310,295,15,376.06
6157,920,4150,3145,795,376.08
4638,1030,3685,2930,685,376.09
3416,380,2005,1445,455,376.11
5318,575,3515,2415,730,376.12
3902,890,3065,2390,435,376.13
3763,765,2875,2280,490,376.14
3696,610,2745,2170,490,376.15
4226,285,2175,1410,425,376.16
8996,1330,5955,4380,1235,377.01
4405,680,2875,2050,635,377.02
2815,540,1905,1455,335,377.03
5939,1495,4360,3505,735,377.04
3809,1305,3180,2620,530,377.06
4857,1305,3530,2860,570,377.07
3257,470,2290,1725,455,378.02
7363,420,3455,2350,790,378.03
6148,360,3335,2030,930,378.04
3907,110,1255,770,330,378.05
6063,340,3030,2085,610,378.06
7099,950,4385,3175,895,378.07
6263,1075,4280,3265,740,378.08
5693,300,2830,1875,635,378.11
5181,220,1895,1300,465,378.12
3892,590,2635,1975,475,378.14
6103,265,3095,2190,720,378.16
3336,90,1225,785,350,378.17
2765,655,1965,1635,260,378.18
5162,1135,3690,2865,660,378.19
2093,595,1625,1360,255,378.2
3948,900,2920,2230,535,378.21
3454,1020,2745,2280,445,378.22
4095,890,2995,2335,480,378.23
